uuid,full_name,email,phone_number,address,date_of_birth,ip_address,sensitive_notes,user_preferences,account_status,last_login_date,signup_date,profile_completion_score,preferred_language,marketing_consent
42bdf61f-2f10-4b7e-a38d-09ab86753723,Jamey Bauch,ali@example.org,338-425-0986,fuga illo animi quibusdam.,1951-04-01,33.110.169.3,benchmark innovative communities,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2024-10-22,1987-01-18,80,en,true
78a2efaf-d653-4465-8354-be6371049078,Harley Kassulke,diamond@example.net,972.103.1811,aut perferendis nihil odio.,1976-01-23,195.12.28.159,seize turn-key deliverables,"{""theme"": ""dark"", ""notifications"": false}",active,2024-07-15,1999-09-18,35,en,false
0202193e-a61e-4fff-b8e5-ae4e22443680,Marcelina Morar,gonzalo@example.org,1-950-988-6072 x202,dolor ab eius recusandae.,1978-07-11,56.212.127.52,synergize 24/7 partnerships,"{""theme"": ""light"", ""notifications"": true}",suspended,2025-03-10,2019-06-16,67,ja,true
c03b90eb-00b7-46b5-b68f-f1de56636f1e,Israel Schiller,quinn@example.com,343-827-3879 x2888,explicabo et sed.,2007-03-20,223.126.120.35,aggregate cross-media synergies,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-02-22,2021-01-18,68,de,true
65cd9798-86f1-4aa9-9f3c-25a65a2cdc88,Imelda Watsica,camryn@example.net,980.864.3461,quae blanditiis eligendi.,1996-12-28,47.112.92.241,generate 24/7 e-commerce,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-06-07,2012-02-10,73,en,false
873951eb-f75f-40d4-ab8e-aab65db61016,Kory Muller,pattie@example.com,(489) 017-7104,quam reiciendis culpa dolorem.,1978-09-25,158.217.215.225,redefine user-centric paradigms,"{""theme"": ""dark"", ""notifications"": false}",suspended,2025-04-23,2000-04-20,29,fr,true
fc50c3ac-0fb5-4b36-bba3-8fac81e17cbf,Dayna Conn,laurie@example.com,1-980-843-6791 x9575,repellendus ipsam nostrum.,1994-10-21,118.40.117.232,recontextualize best-of-breed action-items,"{""theme"": ""dark"", ""notifications"": false}",suspended,2024-08-25,2011-12-04,91,es,true
94fabd5b-3163-4632-8021-97fccc597270,Ervin Kertzmann,ethan@example.net,817.193.1198 x060,quo soluta quo dicta.,2006-02-11,158.167.57.11,integrate value-added niches,"{""theme"": ""dark"", ""notifications"": true}",inactive,2024-11-25,2022-07-20,68,es,false
8c653449-b86a-4816-8da3-d16d3c9a0426,Hiram Collins,richard@example.org,(839) 262-2628 x2635,sit aut cumque.,1973-12-23,136.106.6.85,exploit end-to-end e-commerce,"{""theme"": ""dark"", ""notifications"": true}",suspended,2025-04-29,2002-05-13,98,en,true
b35c8226-cbbe-4380-b787-e175c3e75b7d,Buck Prosacco,seamus@example.net,1-981-141-6070,id consequatur qui.,1947-10-15,16.165.189.183,strategize leading-edge technologies,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-01-02,2010-04-07,44,de,true
9ca324dc-2d19-4ed0-bac0-5ad2f4278d3a,Cristopher Steuber,ona@example.net,(704) 762-2771 x450,rerum qui ipsam omnis.,1988-09-01,124.153.72.225,disintermediate robust paradigms,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2025-01-09,2017-10-22,79,en,true
fc477c61-fd99-4adf-ab8e-0c79a6209d43,Amie Yundt,jarod@example.net,160.409.9746 x199,tempore magnam sequi.,1959-03-10,137.47.194.170,engage user-centric models,"{""theme"": ""light"", ""notifications"": false}",inactive,2025-03-12,1994-12-09,59,de,false
fa001f37-42ac-4f33-8b70-421da82eb764,Giuseppe Spencer,lindsey@example.net,1-872-033-8650 x1176,et quas vel a.,1983-02-18,238.161.205.44,scale granular vortals,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2024-07-13,2019-08-07,49,ja,false
608326a8-9192-4725-b327-11f567e99861,Jaime Emard,pierre@example.org,306.938.0579,amet vero dicta impedit.,1954-02-03,144.123.84.230,repurpose dynamic architectures,"{""theme"": ""dark"", ""notifications"": false}",pending_verification,2024-12-14,2017-03-21,77,de,true
2c487a2b-730d-465d-b3a3-1a67ba986939,Lloyd Rowe,reinhold@example.net,(206) 906-9902 x311,qui asperiores nihil numquam.,2005-11-03,75.171.67.44,engage 24/7 networks,"{""theme"": ""light"", ""notifications"": true}",suspended,2024-07-03,2021-10-20,29,es,true
03baba14-f6bc-44d4-943c-42b4fae1e2a5,Kali Grant,isobel@example.org,(409) 602-5243 x8462,voluptas nisi amet beatae.,1948-05-28,81.46.168.22,orchestrate cutting-edge supply-chains,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-07-24,1961-08-30,78,en,true
e67f81e5-733b-4330-bcfa-53523e50be71,Desiree O'Hara,rahul@example.org,(504) 201-0185 x2679,voluptatum non quod est.,1965-02-02,238.218.207.243,monetize sticky solutions,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2025-04-02,2005-10-04,30,en,true
633c0837-4fba-4b78-bb21-40c01c9643a6,Alene Abbott,kenton@example.net,(845) 508-6776 x59401,at et rerum et.,1980-10-11,191.133.228.16,utilize revolutionary ROI,"{""theme"": ""light"", ""notifications"": false}",suspended,2025-01-11,2020-04-05,75,pt,true
f909c1a2-04cd-4cba-9169-0fe808f3f17d,Kelly Monahan,helmer@example.com,1-358-659-5540,molestiae autem et.,1990-10-05,185.67.198.213,grow best-of-breed networks,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-12-11,2015-11-22,35,ja,true
bd104450-844a-446b-91eb-e7b7c43332ea,Charlotte Lind,genesis@example.org,974-187-2289 x299,dolores qui qui.,1968-10-03,216.42.219.252,visualize revolutionary e-tailers,"{""theme"": ""light"", ""notifications"": true}",suspended,2024-11-12,2008-08-02,62,fr,true
b4787bfe-3fd7-4171-b0be-5de6f32aa76b,Ayden Marquardt,elenor@example.com,(831) 081-7489 x55524,enim culpa accusamus laborum.,1978-12-09,241.247.239.17,monetize impactful infomediaries,"{""theme"": ""light"", ""notifications"": true}",active,2025-01-06,2004-03-07,78,en,true
aebf775c-34dc-45d5-ab32-75a850818363,Kyleigh Parisian,myrtle@example.com,319.725.7575 x66485,magnam veniam voluptas.,2004-04-12,48.199.2.187,orchestrate bricks-and-clicks e-business,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-10-24,2017-11-11,91,ja,true
a80797d4-ae25-46aa-8638-ee83ba3d620b,Khalid Hills,lindsay@example.com,1-973-969-5299 x767,dignissimos quis rerum nobis.,1976-08-12,79.253.106.146,integrate next-generation channels,"{""theme"": ""light"", ""notifications"": false}",suspended,2024-10-09,1994-01-06,35,es,true
65afac99-9518-4218-a720-661b15f2999b,Helmer Hartmann,dina@example.org,1-717-269-0607 x396,aut saepe necessitatibus.,1950-07-22,69.16.170.28,repurpose dynamic communities,"{""theme"": ""light"", ""notifications"": true}",active,2025-04-11,1997-09-12,97,ja,true
f7c56acd-59d4-4bbf-9efd-94a67756df7b,Elizabeth Reinger,rebeka@example.com,(788) 815-8153 x505,et placeat dolorem.,1984-01-21,222.129.159.135,recontextualize plug-and-play channels,"{""theme"": ""dark"", ""notifications"": false}",suspended,2025-04-09,2000-06-14,43,pt,true
7b320577-04d1-4b9b-a25a-dd8dad93711c,Cristal Hand,myrtle@example.net,(762) 513-8814 x629,odit cupiditate in.,1949-04-09,77.173.7.220,cultivate seamless functionalities,"{""theme"": ""light"", ""notifications"": true}",active,2024-09-05,2022-01-14,27,de,true
f31b0a3b-1766-4ba0-a6fa-e11504be8ea6,Emory Collier,paula@example.com,188.310.2371 x316,consequatur nihil doloremque quod.,1987-02-27,240.5.107.165,grow extensible e-tailers,"{""theme"": ""light"", ""notifications"": true}",active,2024-08-04,2016-12-28,26,de,false
3fef6101-7ab5-43ce-9033-829fdc61559a,Westley Reichert,arnoldo@example.org,737.843.6041 x257,id ut et.,1968-03-10,57.86.254.82,integrate rich e-services,"{""theme"": ""light"", ""notifications"": false}",active,2025-03-30,1989-05-25,48,pt,true
674c5016-6cfd-4b0e-939f-84da5850ab2d,Mohammad Hagenes,ronny@example.org,1-539-345-6073,est sapiente qui id.,1988-12-14,84.197.234.136,target integrated relationships,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2024-07-07,2008-05-22,23,pt,true
d3866a74-247e-4603-9726-b3d69ba24da5,Elyse Nikolaus,cruz@example.com,533.725.1115 x19640,modi eos placeat.,1967-04-28,117.170.242.61,implement seamless infrastructures,"{""theme"": ""light"", ""notifications"": true}",suspended,2025-03-13,2004-12-03,78,pt,true
accf03cd-8525-4c9b-b531-5ff95c338cdb,Laila Reichel,mervin@example.com,1-756-698-2941 x163,quia iure enim odio.,1966-04-13,21.101.29.165,empower sexy functionalities,"{""theme"": ""light"", ""notifications"": true}",active,2025-04-26,2002-10-16,78,fr,false
fab57068-0974-43cb-9ecd-2c1fc586f5dd,Jerel Johns,brenden@example.org,(203) 429-8229 x7835,unde ea et ad.,1988-02-04,129.76.165.164,benchmark cross-platform e-commerce,"{""theme"": ""dark"", ""notifications"": true}",suspended,2025-03-01,2015-11-11,44,ja,true
22d98d08-1f2e-41cf-8c41-237850d7dc1b,Kattie Leannon,ofelia@example.com,1-946-999-7285,tenetur facilis distinctio.,1946-11-08,139.129.112.221,morph customized experiences,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-03-07,2000-03-20,54,fr,true
66317ace-dc4a-44df-aba6-7691f9b6dd38,Lauriane Turcotte,dean@example.net,(992) 254-0708 x042,natus numquam est.,1969-12-09,248.112.102.76,redefine seamless e-markets,"{""theme"": ""light"", ""notifications"": false}",pending_verification,2025-02-10,1999-06-22,38,es,false
251c2923-3e96-49d5-a485-51260305ba4b,Vincenzo Thompson,ellsworth@example.net,1-964-275-3985 x36582,tempore odit id soluta.,1989-08-02,219.13.101.59,deploy cross-platform ROI,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2024-12-06,2013-02-28,67,pt,false
fd8c035f-5605-4945-aab5-e3af3f959643,Abelardo Wiza,paolo@example.com,1-627-333-9657 x25086,laboriosam beatae sit omnis.,1986-05-23,112.202.221.14,empower next-generation deliverables,"{""theme"": ""dark"", ""notifications"": true}",active,2024-10-28,2014-04-02,79,ja,true
1ed09628-49ef-4c71-910b-7ee0a763ef44,Dejuan Wyman,vernie@example.net,569.900.3303 x507,assumenda repellat a.,1983-08-22,159.103.149.227,target proactive web services,"{""theme"": ""light"", ""notifications"": true}",active,2025-05-22,2010-09-28,35,es,true
28a46b12-75d4-46c5-93e1-0affccc6227a,Anjali Torp,winfield@example.org,320-225-0853 x0171,repellendus tempore et sint.,1974-11-08,245.32.95.192,synthesize real-time eyeballs,"{""theme"": ""light"", ""notifications"": true}",active,2025-06-02,1997-04-15,29,ja,false
c731b4a6-4f27-4d7b-8219-d2385b1bfe29,Vanessa Harvey,norberto@example.net,1-379-040-7766 x9592,aperiam repellendus quisquam.,2006-03-25,206.252.33.229,grow synergistic web-readiness,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2024-10-04,2024-06-29,57,ja,true
9dbfaf2a-290b-45be-93ff-86102bed4669,Meghan Mohr,julianne@example.net,124.852.4087,aut quod iusto consequatur.,1947-10-21,140.63.27.160,harness revolutionary models,"{""theme"": ""dark"", ""notifications"": true}",active,2025-05-10,2019-03-17,33,pt,true
297e1d11-65bf-4254-85d9-b16e3b666861,Pete Kovacek,troy@example.net,(512) 919-6653 x9152,consectetur nihil velit ut.,1968-02-21,176.66.113.3,morph sexy metrics,"{""theme"": ""dark"", ""notifications"": false}",active,2025-04-13,1984-02-09,54,de,false
a3af8e61-1c4a-4de6-9b40-f73e62246716,Queenie Konopelski,vicenta@example.net,947-610-8971 x6086,quaerat quis voluptas.,1978-08-15,209.44.137.162,expedite leading-edge infrastructures,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-11-24,2021-03-19,50,de,false
19bdf4ac-b3df-43b8-beaf-06ae5ef49c67,Roma Murazik,trey@example.org,429-779-7951 x1019,incidunt quo officiis deleniti.,1964-06-21,254.18.9.99,orchestrate B2C experiences,"{""theme"": ""dark"", ""notifications"": false}",pending_verification,2024-06-22,1991-11-13,49,de,false
79fbe7b5-9238-4c95-a7db-f7687707a65a,Cleta Cremin,jessie@example.net,(509) 656-4421 x86980,in velit ea.,1950-04-07,10.101.237.8,evolve value-added platforms,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-07-20,1985-09-22,24,ja,false
b3493b87-d8a3-4d09-86ab-744029d194a8,Candida Collier,dena@example.org,(624) 912-0840 x340,cupiditate ipsam libero nemo.,1952-04-11,196.26.221.121,engage scalable infomediaries,"{""theme"": ""dark"", ""notifications"": false}",active,2024-12-21,2005-02-15,59,es,false
04cc99fd-f878-45bc-b9ec-35d610ea0d6b,Kenneth Steuber,freida@example.net,(890) 949-6124 x9313,adipisci aperiam facere repellat.,1954-02-13,170.210.6.228,enhance strategic relationships,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-07-17,2011-10-27,63,de,true
a65c6642-70fe-49e6-ae40-db6df6d05438,Mustafa Moore,gillian@example.com,295.471.9655 x021,consequatur qui dignissimos voluptas.,1954-05-26,2.251.119.29,unleash dynamic bandwidth,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-11-25,1972-03-27,60,pt,true
32d6ba3a-3b10-4ec2-88b2-0548f8bb8bea,Nils Hauck,antonio@example.net,(297) 631-8136 x2088,sunt placeat ipsa ut.,1953-02-17,95.195.4.136,innovate virtual infrastructures,"{""theme"": ""dark"", ""notifications"": false}",pending_verification,2025-04-20,2004-03-03,70,fr,true
e296c9ee-f175-4c55-a859-a1459efb28e4,Micah Becker,marcella@example.com,(558) 603-7529 x94087,nisi velit ut.,1997-10-14,174.165.184.167,deliver mission-critical deliverables,"{""theme"": ""light"", ""notifications"": false}",pending_verification,2024-09-07,2020-11-10,91,en,true
17fb75f5-ce5e-4a44-9bc9-7e2a2a937fb3,Arlie Green,harrison@example.org,(100) 108-2665 x26332,voluptatem rerum occaecati repellat.,1998-09-04,208.118.27.75,cultivate innovative e-markets,"{""theme"": ""light"", ""notifications"": false}",inactive,2025-05-16,2013-03-16,22,en,true
d007b45f-3eb2-467c-9030-7cd84cc71d10,Broderick Trantow,ray@example.org,(224) 623-8498 x568,ea temporibus amet placeat.,1984-09-12,146.226.13.239,synthesize wireless infrastructures,"{""theme"": ""light"", ""notifications"": true}",suspended,2025-04-18,2020-01-10,91,en,true
3f56f4bc-9c7a-4e25-b7fc-99e2c595507b,Orville Champlin,salma@example.org,990.507.3443,velit eos molestias ipsum.,1980-03-26,64.122.201.227,visualize sexy markets,"{""theme"": ""dark"", ""notifications"": true}",active,2024-08-09,2004-05-30,64,en,true
2beba12e-9408-44c1-95a4-f752d112a5a5,Archibald Skiles,samantha@example.net,558.403.0938 x6579,et id suscipit.,1958-05-01,37.113.68.252,envisioneer proactive schemas,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-06-25,2001-07-20,27,es,true
d83de83a-2638-4c96-8d96-f7b7d76f9343,Elisa Yost,mandy@example.com,(416) 735-0149 x93961,in modi animi aut.,1946-04-01,38.107.66.39,generate mission-critical infrastructures,"{""theme"": ""light"", ""notifications"": true}",active,2025-02-17,1964-02-24,28,ja,false
18ad26ed-9036-47b4-b3f6-1a1288cae52a,Dana Kassulke,cortney@example.org,925-966-9700 x51503,in amet esse.,1945-06-26,37.193.246.86,unleash synergistic systems,"{""theme"": ""light"", ""notifications"": false}",active,2024-07-12,1969-10-09,25,de,false
7e048a17-5c66-4f85-8f91-11122ba340a5,Elian Thiel,anahi@example.com,865-856-8555,et rerum qui.,1968-09-18,114.191.81.129,recontextualize user-centric e-services,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-03-24,1994-01-22,59,es,false
2b40e887-34a6-4627-bb39-44e1459c6f23,Rosemarie Barton,missouri@example.net,1-943-025-9443 x05414,a sint omnis molestiae.,1989-07-18,103.24.115.125,redefine open-source partnerships,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-06-23,2024-05-08,46,fr,false
0265066c-c337-4c9f-8faa-a8dc31df5194,Maxine Konopelski,elinore@example.org,895-774-2467 x259,et consequatur enim.,1986-01-24,214.145.240.221,innovate user-centric e-commerce,"{""theme"": ""light"", ""notifications"": false}",active,2024-07-20,2012-11-08,65,pt,true
a8288b06-7c8a-492f-bf17-4d031e3d86c8,Marjory Streich,kari@example.com,(301) 993-8700 x5303,dolor qui et.,1993-08-24,1.251.229.169,exploit value-added deliverables,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-07-21,2022-03-24,60,ja,false
d7710309-b3ef-4536-9360-a02550ea78c6,Nikko Parisian,bradford@example.org,463.637.5414 x30908,alias aliquam ut sit.,1952-11-09,68.173.234.124,extend value-added partnerships,"{""theme"": ""light"", ""notifications"": false}",active,2024-09-26,1988-05-14,54,fr,false
d229f79a-deb0-46ab-be88-046c3eb8b4d3,Alycia Hand,carmelo@example.com,355-747-9866 x053,perferendis ut sunt.,1989-10-25,181.187.105.210,architect web-enabled initiatives,"{""theme"": ""light"", ""notifications"": false}",pending_verification,2025-05-26,2004-10-17,31,ja,true
934cd751-a3ed-4267-85d7-0e959e167914,Trisha Murazik,buford@example.net,(560) 753-2737,et voluptatem id quis.,1973-02-22,72.49.108.229,implement frictionless platforms,"{""theme"": ""dark"", ""notifications"": true}",inactive,2024-09-14,1996-05-18,94,ja,false
40a455a8-d5ab-4a70-97e4-cfab21d4eb3e,Kariane Weber,freeman@example.com,181.442.5751 x2839,accusamus quam non.,1957-06-26,129.82.55.29,harness granular experiences,"{""theme"": ""dark"", ""notifications"": false}",inactive,2025-02-20,2013-07-25,81,es,true
a756653a-eb2d-4691-9fff-6ebb938e619f,Hermann Kub,aubree@example.net,598-168-3670,quia est rem sint.,1990-11-05,129.193.131.44,enhance distributed niches,"{""theme"": ""dark"", ""notifications"": false}",suspended,2025-04-01,2014-06-03,22,fr,true
95bb1851-1924-47aa-a584-b6ec96931513,Erin Cormier,geovanny@example.org,350-788-9482 x4624,iure vel sint.,1957-02-23,141.45.173.170,leverage scalable networks,"{""theme"": ""dark"", ""notifications"": false}",active,2024-12-25,2013-07-21,96,ja,true
e4a403f9-ca75-4404-a3d5-a1648111e880,Elliot Bartoletti,glenna@example.net,276.837.8874 x9702,beatae quo facere atque.,1996-07-09,130.144.192.124,seize back-end action-items,"{""theme"": ""dark"", ""notifications"": false}",inactive,2024-12-04,2015-07-04,68,ja,false
5f102b27-7d9d-4bdb-9043-c0feb47edf06,Layne Bogisich,malika@example.org,1-435-356-7623,aut quo qui inventore.,1990-03-27,187.56.59.240,maximize e-business paradigms,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-01-03,2010-02-22,77,fr,true
835747cb-a7dc-452b-88c1-0d77f0419ac0,Saige Osinski,anika@example.com,702-353-3955 x256,sequi ea ab ab.,1991-05-02,135.150.124.199,implement front-end channels,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2024-07-10,2013-02-13,37,es,true
9299f5bc-1ef6-4e29-8296-747af06f2c00,Candido Barrows,gerald@example.org,1-177-987-0562,magnam mollitia et ut.,1951-11-10,82.249.36.29,enable world-class deliverables,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2025-02-17,1982-09-02,95,de,true
6e9f9177-faeb-460c-90d7-40872f0776d9,Andre Rogahn,troy@example.net,754-727-2088 x75318,sunt ipsum modi in.,1988-12-15,249.200.189.155,generate granular infomediaries,"{""theme"": ""dark"", ""notifications"": true}",inactive,2025-04-09,2010-05-16,77,pt,true
90fe4fa9-69c4-4416-bd1e-c3136f26893d,Bert Weimann,brock@example.net,1-602-629-5918 x92957,unde rem id.,1972-07-21,108.33.49.133,strategize wireless portals,"{""theme"": ""dark"", ""notifications"": false}",inactive,2025-01-27,1992-01-19,88,de,false
6036fa4e-afd6-4bff-ae77-2131f1e4a293,Jeffrey Mraz,alec@example.com,697.270.1448,magnam qui accusamus quia.,1963-12-13,209.47.225.231,maximize one-to-one communities,"{""theme"": ""dark"", ""notifications"": true}",active,2025-01-18,2016-11-18,61,fr,false
dd2438e3-07dd-4e5b-a7e0-67827de53c2b,Augustine Weber,malcolm@example.com,135.197.4873 x0380,velit quasi qui veniam.,1962-06-13,132.48.231.3,leverage scalable e-services,"{""theme"": ""dark"", ""notifications"": false}",suspended,2024-09-27,1989-04-17,81,es,false
f66aa899-e536-4280-b71d-ce0236631708,Orlo Tremblay,myles@example.com,135.445.3735,culpa consectetur voluptatibus.,1998-09-25,212.5.96.181,utilize dot-com convergence,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2025-03-20,2015-07-03,32,pt,true
3dd04d05-7c3f-4ec8-8d0b-d0846d342bfe,Ceasar Mills,raoul@example.org,(323) 942-0141 x32004,quae cumque asperiores iste.,1992-01-24,104.61.187.159,streamline robust eyeballs,"{""theme"": ""light"", ""notifications"": true}",active,2024-10-08,2010-10-08,50,fr,true
f0fecc9f-c626-47df-a9ef-6e24e408b72a,Lolita Marquardt,xander@example.org,674-901-1023 x9848,repudiandae nam quo.,1973-08-04,225.7.2.245,unleash next-generation niches,"{""theme"": ""light"", ""notifications"": false}",pending_verification,2025-01-29,1997-02-06,94,de,false
7dc89fca-72d9-4f17-b4bf-f96b3edcf51b,Jerrold Cummerata,austen@example.net,(560) 554-5693,nihil omnis architecto.,2000-12-07,99.25.1.87,drive real-time relationships,"{""theme"": ""light"", ""notifications"": true}",suspended,2024-08-06,2020-01-18,68,en,true
7edbc7d3-39cc-4415-81e1-dda7ea24bf8c,Cedrick Abernathy,leatha@example.net,491.185.4353,quis voluptatem ea.,1972-06-11,38.160.91.250,enable global schemas,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2025-04-13,2017-01-24,23,ja,false
10ee019f-6afb-42be-b8e2-c646429e2f46,Tiffany Russel,shayna@example.org,1-122-433-6291 x635,qui est sed nemo.,1973-08-17,135.5.54.220,syndicate e-business initiatives,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-02-08,2021-04-30,98,de,true
fdf50915-3741-4543-8ead-6f2566a00573,Millie Schoen,larissa@example.com,193-686-6919 x67309,aut eligendi vel consequatur.,1959-01-09,232.14.89.35,synthesize cross-platform methodologies,"{""theme"": ""light"", ""notifications"": true}",active,2025-05-18,2018-07-09,26,de,true
523cc1d6-d0a3-427f-aae3-cfac76dacea1,Jadyn Lind,antoinette@example.com,(928) 957-6376 x4507,animi blanditiis doloremque dolorum.,1998-02-08,28.141.192.106,target rich systems,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-11-24,2021-02-10,66,fr,true
e1645453-9a48-4ffb-b2df-f117d002b0c0,Ollie Brown,hollis@example.net,1-712-752-1634 x965,unde placeat maiores eum.,1977-06-21,190.246.124.214,orchestrate dynamic eyeballs,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-08-26,1998-09-23,28,en,true
2a35a222-34c0-4fbc-b871-8cea2481807d,Elfrieda Bogisich,coty@example.org,(392) 419-7127,vero fuga atque.,2002-01-23,101.243.2.208,revolutionize synergistic users,"{""theme"": ""dark"", ""notifications"": true}",suspended,2024-06-21,2017-09-10,97,de,false
a59312c8-3e99-4b89-86ad-357010d8c8c6,Mortimer Rempel,lew@example.net,839.904.0570 x8146,quibusdam eum quod.,1945-05-08,16.200.16.102,leverage B2C e-tailers,"{""theme"": ""light"", ""notifications"": true}",pending_verification,2024-10-05,2007-10-07,77,en,true
57ec1e9e-8500-42b0-89d4-59a484e9de51,Crystel Ryan,brenna@example.net,784.557.0436 x21880,et dolorem nihil.,1951-12-06,168.34.223.193,disintermediate seamless e-business,"{""theme"": ""light"", ""notifications"": false}",active,2025-04-02,1990-06-09,64,ja,false
